can,could,may,might,must,will
news,0,0,0,0,2,12
news,0,4,1,0,0,2
news,0,2,1,0,1,1
news,4,2,0,1,0,7
news,2,1,1,0,1,9
news,0,1,2,0,0,10
news,0,1,1,1,0,3
news,3,1,1,0,1,4
news,3,3,1,0,4,9
news,2,3,5,1,2,3
news,1,1,0,1,1,13
news,3,5,0,1,0,4
news,4,1,5,0,0,24
news,5,0,4,0,4,16
news,0,4,0,0,0,5
news,2,3,6,5,0,6
news,2,3,6,1,1,2
news,4,2,1,1,7,2
news,1,5,0,1,0,2
news,4,2,0,0,0,2
news,4,0,1,0,1,4
news,0,5,2,2,0,6
news,1,1,5,7,0,2
news,1,2,0,1,0,0
news,4,0,4,0,0,12
news,5,2,6,2,4,5
religion,8,4,3,1,1,1
religion,13,1,8,0,10,3
religion,0,0,2,1,2,6
religion,5,1,1,2,4,3
religion,4,9,3,1,1,0
religion,9,0,2,1,3,3
religion,6,10,2,0,4,7
religion,3,3,6,1,4,1
religion,4,0,13,0,5,14
religion,7,3,3,0,4,5
religion,7,2,13,1,8,7
religion,1,1,2,1,1,2
religion,8,9,3,1,0,2
religion,3,2,0,1,3,1
religion,1,9,3,0,1,0
religion,5,1,12,0,3,11
religion,0,4,3,1,0,6
reviews,3,1,3,1,0,8
reviews,1,4,6,2,1,4
reviews,1,2,3,1,0,2
reviews,0,2,2,2,1,3
reviews,3,6,1,3,1,3
reviews,2,6,5,2,0,4
reviews,2,3,0,2,0,0
reviews,2,3,2,2,1,0
reviews,1,3,5,1,1,4
reviews,3,0,2,0,1,2
reviews,2,4,1,3,4,0
reviews,3,2,0,2,1,4
reviews,1,2,2,1,1,7
reviews,9,1,3,1,1,1
reviews,5,0,2,1,0,8
reviews,2,1,5,2,4,7
reviews,5,0,5,0,2,4
romance,0,9,0,1,0,0
romance,6,15,0,1,0,0
romance,1,9,0,1,2,2
romance,3,5,0,2,5,1
romance,1,4,1,2,0,1
romance,5,2,0,1,1,0
romance,2,5,3,1,4,1
romance,0,6,0,2,3,1
romance,7,11,0,4,3,4
romance,3,6,3,0,1,2
romance,2,6,0,1,5,3
romance,2,11,0,7,1,0
romance,2,4,0,1,2,7
romance,2,8,0,3,2,2
romance,1,2,0,2,4,3
romance,8,7,0,0,0,1
romance,0,7,1,1,4,4
romance,10,7,1,2,1,1
romance,3,4,0,0,0,1
romance,2,6,0,0,3,1
romance,4,6,1,4,0,1
romance,2,9,0,2,1,3
romance,0,6,1,2,2,1
romance,0,1,0,1,0,2
romance,0,2,0,1,0,0
romance,1,12,0,3,0,0
romance,6,5,0,1,0,3
romance,2,16,0,5,0,0
romance,4,4,0,0,2,4
science_fiction,3,2,0,0,0,0
science_fiction,2,6,1,2,3,4
science_fiction,1,15,2,4,3,6
science_fiction,4,10,1,3,0,3
science_fiction,1,8,0,0,2,1
science_fiction,5,8,0,3,0,3
